level	seed	status	official_score	max_score	full_score	grasp_events	required_grasps	collision_frames	target_distance_m	elapsed_s	manifest	trajectory	notes
L2	20260727	complete	15	15	true	1	1	0	0.407609	67.262412	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260727.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260727.json	retained
L2	20260728	complete	15	15	true	1	1	0	0.407609	66.872367	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260728.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260728.json	retained
L2	20260729	complete	15	15	true	1	1	0	0.407609	64.421817	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260729.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260729.json	retained
L2	20260730	complete	15	15	true	1	1	0	0.407609	66.531502	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260730.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260730.json	retained
L2	20260731	complete	15	15	true	1	1	0	0.407609	64.100139	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260731.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260731.json	retained
L2	20260732	complete	15	15	true	1	1	0	0.407609	63.226516	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260732.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260732.json	retained
L2	20260733	complete	15	15	true	1	1	0	0.407609	64.630785	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260733.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260733.json	retained
L2	20260734	complete	15	15	true	1	1	0	0.407609	66.708569	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260734.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260734.json	retained
L2	20260735	complete	15	15	true	1	1	0	0.407609	62.717842	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260735.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260735.json	retained
L2	20260736	complete	15	15	true	1	1	0	0.407609	61.803731	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260736.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260736.json	retained
L2	20260737	complete	15	15	true	1	1	0	0.407609	62.169566	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260737.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260737.json	retained
L2	20260738	complete	15	15	true	1	1	0	0.407609	63.619788	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260738.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260738.json	retained
L2	20260739	complete	15	15	true	1	1	0	0.407609	63.422670	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260739.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260739.json	retained
L2	20260740	complete	15	15	true	1	1	0	0.407609	62.061686	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/manifests/manifest-l2-seed-20260740.json	artifacts/remote-multiseed-20260728/multiseed-05a7-20260728/trajectories/trajectory-l2-seed-20260740.json	retained
