iteration	variant	arm_stroke_m	arm_lift_m	projected_object_progress_m	lateral_object_drift_m	base_reset_m	base_translation_m	max_object_reset_drift_m	max_gripper_reset_drift_m	bilateral_grasp	height_safe	collision_frames	status
1	stroke-plus-uncompensated-drag	0.08	0.05	0.086006	0.000835	-	-	-	-	true	true	0	keep:arm-stroke; discard:ordinary-base-drag
2	feedforward-base-reset	0.08	0.05	0.086006	0.000835	0.08	0.031999	0.002777	0.030708	true	true	0	discard:gripper-drift-threshold
3	closed-loop-base-reset	0.08	0.05	0.086006	0.000835	0.08	0.055993	0.030965	0.020432	true	true	0	discard:absolute-object-drift-threshold; net macro progress remained positive
4	net-macro-progress-gate	0.08	0.05	0.086006	0.000835	0.08	0.079991	0.050380	0.025350	true	true	0	keep:physical macro progress 0.036019 m
5	height-feedback-calibration	0.08	0.015	0.080622	0.000622	0.08	0.079991	0.051080	0.025826	true	true	0	keep:physical macro progress 0.029916 m; final lift 0.165023 m
6	repeating-controller-before-terminal-stop	0.08	dynamic	0.138252	0.005252	0.08	0.223982	-	0.027240	false	true	0	discard:two full cycles passed, but unnecessary third reset lost right contact after target
7	terminal-stop-at-measured-target	0.08	dynamic	0.142747	0.000920	0.08	0.159989	-	0.027240	true	true	0	keep:0.12 m target passed with two full resets and final arm stroke
8	short-reset-repeating-controller	0.08	dynamic	0.226583	0.000053	0.06	0.179990	-	0.022896	true	true	0	keep:0.20 m target passed with three full resets and final arm stroke
9	toward-base-inchworm-extraction	0.08	dynamic	0.100188	0.001396	0.06	0.060000	-	0.016239	false	false	0	discard:first macro passed; second arm lost left contact and object dropped
10	direct-base-pull-extraction	-	dynamic	0.003829	-	-	0.041002	0.040496	-	true	false	0	discard:grippers moved but object stayed; planar grasp drift gate rejected slip
11	small-cycle-toward-base-extraction	0.06	dynamic	0.066971	0.003548	0.04	0.068001	-	0.014261	false	false	0	discard:two arm strokes passed; second reset lost right contact and object dropped
